Local time;Download (Rx) bandwidth (bps);Download bandwidth;Rx packet loss (percent);Upload (Tx) bandwidth (bps);Upload bandwidth;Tx packet loss (percent);RTT (ping) (ms);Rx packet loss burst length (packets);Tx packet loss burst length (packets);Rx instant jitter (ms);Tx instant jitter (ms);Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms)
2021-03-18 06:41;20902226;19.93Mbps/100.00Mbps;3.638249;46688532;44.53Mbps/100.00Mbps;0.14512253;156;2.101875;1.2030425;77.3287;132.7296;12.043392;17.143461
2021-03-18 06:41;20959164;19.99Mbps/100.00Mbps;1.9775411;45247200;43.15Mbps/100.00Mbps;0.20860413;219.7851;1.9912251;1.2030423;54.2924;367.386;11.970519;32.154995
2021-03-18 06:41;21921436;20.91Mbps/100.00Mbps;2.4028647;46733772;44.57Mbps/100.00Mbps;0.15594855;219.7851;1.9912249;1.1071873;40.7112;74.4713;8.636014;12.915287
2021-03-18 06:41;22784754;21.73Mbps/100.00Mbps;2.5273645;48852528;46.59Mbps/100.00Mbps;0.16939558;219.7851;1.9897723;1.1151875;61.9377;103.2354;10.929173;14.869803
2021-03-18 06:41;21529638;20.53Mbps/100.00Mbps;3.086132;46011168;43.88Mbps/100.00Mbps;0.19926922;177;1.9897726;1.1151873;53.6427;76.950294;12.730222;15.013929
2021-03-18 06:40;19639754;18.73Mbps/100.00Mbps;1.7134866;42186776;40.23Mbps/100.00Mbps;0.25854215;177;2.3259363;1.1071863;81.9224;144.8322;10.185565;30.105692
2021-03-18 06:40;19171904;18.28Mbps/100.00Mbps;2.0798938;43820736;41.79Mbps/100.00Mbps;0.3346632;281;2.3259368;1.1151875;35.1636;60.037197;8.564431;13.658039
2021-03-18 06:40;17418174;16.61Mbps/100.00Mbps;2.5619483;41078272;39.18Mbps/100.00Mbps;0.4034101;314;2.325937;1.1151873;29.690199;144.4784;9.876522;21.198017
2021-03-18 06:40;15612890;14.89Mbps/100.00Mbps;2.7438712;35957604;34.29Mbps/100.00Mbps;0.3280651;327.299;2.8742006;1.1875087;45.325798;113.9021;10.980376;20.89483
2021-03-18 06:40;14686594;14.01Mbps/100.00Mbps;2.8515725;32422354;30.92Mbps/100.00Mbps;0.40044492;138;3.1089773;1.1875087;34.042297;144.19429;8.688532;21.597511
2021-03-18 06:40;16864776;16.08Mbps/100.00Mbps;3.4891777;35398492;33.76Mbps/100.00Mbps;0.46259677;138;3.1089776;1.1875087;34.022198;157.2975;12.196841;15.294758
